Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Interventions on Health and Healthcare Disparities on Non-Communicable and Chronic Diseases in Latin America: Improving Health Outcomes Across the Hemisphere (R01 - Clinical Trial Required)","1/13/2025","5/8/2027","R01","NIH","NIMHD","NINR, ORWH","PAR-25-342","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-342.html"
"NIDDK High Risk Multi-Center Clinical Study Implementation Planning Cooperative Agreements (U34 Clinical Trial Optional)","1/10/2025","6/11/2027","U34","NIH","NIDDK","None","PAR-25-090","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-090.html"
"Time-Sensitive Evaluation of Policies Affecting Health Behaviors and Chronic Disease Risk (R01-Clinical Trial Not Allowed)","1/10/2025","1/12/2028","R01","NIH","NIDDK","NCI, NICHD, ODP","PAR-25-312","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-312.html"
"Disseminating PCOR Evidence for Long COVID Care into Practice Through Up-to-Date Clinical Decision Support","1/10/2025","4/11/2025","R18","AHRQ","AHRQ","None","RFA-HS-25-001","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HS-25-001.html"
"Single Source: Bench to Bassinet Congenital Heart disease Advancing New understanding in GEnomics Cohort (B2B CHANGE Cohort) Data Coordinating Center (U01 Clinical Trial Not Allowed)","1/10/2025","3/19/2025","U01","NIH","NHLBI","None","RFA-HL-26-007","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-26-007.html"
"Multimodal Artificial Intelligence to Accelerate HIV Clinical Care (R01 Clinical Trial Optional)","1/10/2025","3/28/2025","R01","NIH","NIMH","NIDA","RFA-MH-26-105","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-26-105.html"
"NEI Clinical Research Study Planning Grant Program (R34 Clinical Trial Not Allowed)","1/10/2025","1/8/2028","R34","NIH","NEI","None","PAR-25-358","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-358.html"
"Limited Competition: Small Grant Program for NIDDK K01/K08/K23/K25 Recipients (R03 Clinical Trial Optional)","1/10/2025","1/8/2028","R03","NIH","NIDDK","None","PAR-25-091","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-091.html"
"Development and Testing of Novel Interventions to Improve HIV Prevention, Treatment, and Program Implementation for People Who Use Substances (R34 Clinical Trial Required)","1/8/2025","5/8/2027","R34","NIH","NIDA","None","PAR-24-329","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-329.html"
"Limited Competition: Advancing the Science of Complementary and Integrative Health Approaches to Improve Maternal Health Outcomes (R01 Clinical Trial Required)","1/8/2025","5/6/2025","R01","NIH","NCCIH","NICHD, NIMH, ODP, ORWH","RFA-AT-25-002","RFA","Required","https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-25-002.html"
"Understanding the Intersection of Social Inequities to Optimize Health and Reduce Health Disparities: The Axes Initiative (R01 Clinical Trial Optional)","1/8/2025","3/11/2025","R01","NIH","NINR","NCI, NIMH, ORWH","RFA-NR-25-004","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-NR-25-004.html"
"HEAL Initiative: Pain Research Enhancement Program (PREP) (R15 Clinical Trial Optional)","1/8/2025","11/24/2026","R15","NIH","NCCIH","NIA, NIAAA, NIAMS, NICHD, NIDCR, NINDS","RFA-AT-25-003","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-AT-25-003.html"
"Small R01s for Clinical Trials Targeting Diseases within the Mission of NIDDK (R01 Clinical Trial Required)","1/8/2025","5/8/2026","R01","NIH","NIDDK","None","PAS-25-102","PAS","Required","https://grants.nih.gov/grants/guide/pa-files/PAS-25-102.html"
"Unveiling Health and Healthcare Disparities in Non-Communicable and Chronic Diseases in Latin America: Setting the Stage for Better Health Outcomes Across the Hemisphere (R01 - Clinical Trials Not Allowed)","1/8/2025","1/8/2027","R01","NIH","NIMHD","NCI, NIA, NIDCR, NINR, ORWH","PAR-25-377","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-377.html"
"Priority HIV/AIDS Research within the Mission of NIDDK (R01 Clinical Trial Optional)","1/8/2025","1/8/2028","R01","NIH","NIDDK","None","PAS-25-073","PAS","Optional","https://grants.nih.gov/grants/guide/pa-files/PAS-25-073.html"
"Prospective Observational Comparative Effectiveness Research in Clinical Neurosciences (UG3/UH3 Clinical Trial Not Allowed)","1/8/2025","9/8/2025","UG3/UH3","NIH","NINDS","None","PAR-25-048","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-048.html"
"Pilot Studies of Biological, Behavioral and Social Mechanisms Contributing to HIV Pathogenesis Within the Mission of NIDDK (R21 Clinical Trial Not Allowed)","1/8/2025","1/8/2028","R21","NIH","NIDDK","None","PAR-25-068","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-068.html"
"Joint NINDS/NIMH Exploratory Neuroscience Research Grant (R21 Clinical Trial Not Allowed)","1/8/2025","1/8/2028","R21","NIH","NINDS","NIMH","PA-25-150","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-150.html"
"Advancing HIV/AIDS Research within the Mission of the NIDCD (R21 Clinical Trial Optional)","1/8/2025","1/8/2028","R21","NIH","NIDCD","None","PAR-25-318","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-318.html"
"Advancing HIV/AIDS Research within the Mission of the NIDCD (R01 Clinical Trial Optional)","1/8/2025","1/8/2028","R01","NIH","NIDCD","None","PAR-25-319","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-319.html"
"Multidisciplinary Studies of HIV/AIDS and Aging (R21 Clinical Trial Optional)","1/8/2025","1/8/2027","R21","NIH","NIA","NCI, NHLBI, NIAMS, NIDA, NIDCR, NIDDK, NIMH, NINDS, ORWH","PAR-25-355","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-355.html"
"Multidisciplinary Studies of HIV/AIDS and Aging (R01 Clinical Trial Optional)","1/8/2025","1/8/2027","R01","NIH","NIA","NCI, NHLBI, NIAMS, NIDA, NIDCR, NIDDK, NIMH, NINDS, ORWH","PAR-25-354","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-354.html"
"Trailblazer Award for New and Early Stage Investigators (R21 Clinical Trial Optional)","1/8/2025","1/8/2026","R21","NIH","NIBIB","NEI, NIA","PA-25-169","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-169.html"
"NEI Translational Research Program for Therapeutics (R33 Clinical Trial Not Allowed)","1/7/2025","3/17/2025","R33","NIH","NEI","None","PAR-25-363","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-363.html"
"NEI Translational Research Program for Therapeutics (R61/R33 Clinical Trial Not Allowed)","1/7/2025","3/17/2025","R61/R33","NIH","NEI","None","PAR-25-335","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-335.html"
"NIDCD Cooperative Agreement for Clinical Trials in Communication Disorders (U01 - Clinical Trial Required)","1/6/2025","10/19/2027","U01","NIH","NIDCD","None","PAR-25-343","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-343.html"
"In Vivo High-Resolution Imaging for Inner Ear Visualization (R01 Clinical Trial optional)","1/6/2025","10/2/2026","R01","NIH","NIDCD","None","RFA-DC-25-005","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-DC-25-005.html"
"Cooperative Agreement for In Vivo High-Resolution Imaging for Inner Ear Visualization (U01 Clinical Trial Required)","1/6/2025","10/2/2026","U01","NIH","NIDCD","None","RFA-DC-25-003","RFA","Required","https://grants.nih.gov/grants/guide/rfa-files/RFA-DC-25-003.html"
"NIDDK High Risk Multi-Center Clinical Study Cooperative Agreement (U01 Clinical Trial Not Allowed)","1/3/2025","11/6/2026","U01","NIH","NIDDK","None","PAR-25-089","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-089.html"
"NIDDK High Risk Multi-Center Clinical Study Cooperative Agreement (U01 Clinical Trial Required)","1/3/2025","11/6/2026","U01","NIH","NIDDK","None","PA-25-147","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-25-147.html"
"Development of Medications to Prevent and Treat Substance Use Disorders and Overdose (UG3/UH3 - Clinical Trial Optional)","1/3/2025","8/12/2025","UG3/UH3","NIH","NIDA","None","PAR-25-329","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-329.html"
"Grand Opportunity in Medications Development for Substance-Use Disorders (U01 Clinical Trial Optional)","1/3/2025","8/12/2025","U01","NIH","NIDA","None","PAR-25-328","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-328.html"
"NEI Research Grant for Vision-Related Secondary Data Analysis (R21 Clinical Trial Not Allowed)","1/2/2025","10/17/2027","R21","NIH","NEI","None","PAR-25-357","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-357.html"
"Academic-Industrial Partnerships for Translation of Technologies for Diagnosis and Treatment (R01 - Clinical Trial Not Allowed)","12/31/2024","1/8/2028","R01","NIH","NCI","NEI, NIDCR, ORWH","PAR-25-338","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-338.html"
"Academic-Industrial Partnerships for Translation of Technologies for Diagnosis and Treatment (R01 - Clinical Trial Optional)","12/31/2024","1/8/2028","R01","NIH","NCI","None","PAR-25-337","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-337.html"
"Revision Applications for Incorporation of Novel NCI- Supported Technology to Accelerate Cancer Research (U01 Clinical Trial Optional)","12/31/2024","10/4/2025","U01","NIH","NCI","None","RFA-CA-25-006","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-006.html"
"Revision Applications for Incorporation of Novel NCI-Supported Technology to Accelerate Cancer Research (P50 Clinical Trial Optional)","12/31/2024","10/4/2025","P50","NIH","NCI","None","RFA-CA-25-007","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-007.html"
"Revision Applications for Incorporation of Novel NCI-Supported Technology to Accelerate Cancer Research (R01 Clinical Trial Optional)","12/31/2024","10/4/2025","R01","NIH","NCI","None","RFA-CA-25-005","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-005.html"
"NIAID, NIDDK, NIDA, and NIAAA Research Opportunities for New and At-Risk Investigators (R01 Clinical Trial Optional)","12/31/2024","9/8/2025","R01","NIH","NIAID","NIAAA, NIDA, NIDDK","PA-25-249","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-25-249.html"
"Innovative Pilot Mental Health Services Research Not Involving Clinical Trials (R34 Clinical Trial Not Allowed)","12/30/2024","1/8/2028","R34","NIH","NIMH","None","PAR-25-284","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-284.html"
"Innovative Mental Health Services Research Not Involving Clinical Trials (R01 Clinical Trials Not Allowed)","12/30/2024","1/8/2028","R01","NIH","NIMH","None","PAR-25-283","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-283.html"
"Planning for Product Development Strategy (R34 Clinical Trial Not Allowed)","12/30/2024","12/5/2026","R34","NIH","NIAID","None","PAR-25-099","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-099.html"
"Translational Bioinformatics and Experimental Approaches to Advance Drug Repositioning and Combination Therapy Development for Alzheimers Disease and Related Dementias (R01 Clinical Trial Not Allowed)","12/30/2024","5/8/2028","R01","NIH","NIA","None","PAR-25-374","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-374.html"
"Advancing Vision Health Equity through Multi-level Interventions and Community-Engaged Research (R01 - Clinical Trial Optional)","12/30/2024","3/4/2025","R01","NIH","NEI","NIMHD","RFA-EY-25-002","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-EY-25-002.html"
"Cutting-Edge Basic Research Awards (CEBRA) (R21 Clinical Trial Optional)","12/30/2024","8/12/2027","R21","NIH","NIDA","None","PAR-25-101","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-101.html"
"Ex Vivo Models for Studies at the Intersection of HIV and Addictive Substance Use (R01 Clinical Trial Not Allowed)","12/30/2024","8/14/2025","R01","NIH","NIDA","None","RFA-DA-25-074","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-074.html"
"Secondary Analysis of Existing Datasets in Heart, Lung, and Blood Diseases and Sleep Disorders (R21 Clinical Trial Not Allowed)","12/30/2024","1/8/2026","R21","NIH","NHLBI","None","PAR-25-056","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-056.html"
"Early Immune System Development and Ontogeny (R01 Clinical Trial Optional)","12/30/2024","1/8/2029","R01","NIH","NICHD","None","PAR-25-362","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-362.html"
"Research on Current Topics in Alzheimer's Disease and Its Related Dementias (R01 Clinical Trial Optional)","12/30/2024","11/6/2027","R01","NIH","NIA","NINDS","PAR-25-332","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-332.html"
"Research on Current Topics in Alzheimer's Disease and Its Related Dementias (R21 Clinical Trial Optional)","12/30/2024","11/17/2027","R21","NIH","NIA","None","PAR-25-331","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-331.html"
"Elucidating Immunometabolic Responses to HIV Infection that Increase TB or HBV Risk (R01 Clinical Trial Not Allowed)","12/18/2024","1/8/2028","R01","NIH","NIAID","None","PAR-25-315","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-315.html"
"Elucidating Immunometabolic Responses to HIV Infection that Increase TB or HBV Risk (R21 Clinical Trial Not Allowed)","12/18/2024","1/8/2028","R21","NIH","NIAID","None","PAR-25-316","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-316.html"
"Translational Efforts to Advance Gene-based Therapies for Ultra-Rare Neurological and Neuromuscular Disorders (U01 - Clinical Trial Optional)","12/18/2024","10/9/2027","U01","NIH","NINDS","None","PAR-25-327","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-327.html"
"NIH Research Project Grant (Parent R01 Basic Experimental Studies with Humans Required)","12/18/2024","1/8/2028","R01","NIH","NIH","NCCIH, NCI, NEI, NIA, NIAAA, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINDS, NINR","PA-25-303","PA","Basic_Trial","https://grants.nih.gov/grants/guide/pa-files/PA-25-303.html"
"NIH Research Project Grant (Parent R01 Clinical Trial Required)","12/18/2024","1/8/2028","R01","NIH","NIH","NCCIH, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM","PA-25-305","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-25-305.html"
"NIH Research Project Grant (Parent R01 Clinical Trial Not Allowed)","12/18/2024","1/8/2028","R01","NIH","NIH","NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM, ORIP, NCCIH, NCI, NEI","PA-25-301","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-301.html"
"NIH Exploratory/Developmental Research Project Grant (Parent R21 Basic Experimental Studies with Humans Required)","12/18/2024","1/8/2028","R21","NIH","NIH","NCCIH, NEI, NIA, NIAAA, NICHD, NIDA, NIDCD, NIMH, NINR","PA-25-307","PA","Basic_Trial","https://grants.nih.gov/grants/guide/pa-files/PA-25-307.html"
"NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Required)","12/18/2024","1/8/2028","R21","NIH","NIH","NEI, NHGRI, NIA, NIAAA, NIAID, NIBIB, NICHD, NIDA, NIDCD, NIEHS, NIMH, NINR, NLM","PA-25-306","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-25-306.html"
"NIH Exploratory/Developmental Research Project Grant (Parent R21 Clinical Trial Not Allowed)","12/18/2024","1/8/2028","R21","NIH","NIH","NCCIH, NEI, NHGRI, NIA, NIAAA, NIAID, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIEHS, NIMH, NINR, NLM","PA-25-304","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-304.html"
"NIH Small Research Grant Program (Parent R03 Clinical Trial Not Allowed)","12/18/2024","1/8/2028","R03","NIH","NIH","NHGRI, NIA, NIAAA, NIAID, NIBIB, NICHD, NIDA, NIEHS, NIMH, NINDS, NLM","PA-25-302","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-302.html"
"NIDDK Catalyst Award (DP1 Clinical Trial Not Allowed)","12/18/2024","7/19/2025","DP1","NIH","NIDDK","None","RFA-DK-26-006","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DK-26-006.html"
"NHLBI Clinical Trial Pilot Studies (R34 Clinical Trial Optional)","12/18/2024","1/8/2027","R34","NIH","NHLBI","None","PAR-25-032","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-032.html"
"HEAL Initiative: Translating Research to Practice to End the Overdose Crisis (R61/R33 Clinical Trial Optional)","12/17/2024","3/21/2025","R61/R33","NIH","NIDA","NICHD, NIMH, NCCIH, NIA, NIAAA","RFA-DA-25-078","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-078.html"
"HEAL Initiative: Translating Research to Practice to End the Overdose Crisis (R33 Clinical Trial Optional)","12/17/2024","3/21/2025","R33","NIH","NIDA","NIA, NIAAA, NICHD, NIMH, NCCIH","RFA-DA-25-077","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-077.html"
"Toward Translation of Nanotechnology Cancer Interventions (TTNCI; R01 Clinical Trial Not Allowed)","12/16/2024","11/16/2027","R01","NIH","NCI","None","PAR-25-336","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-336.html"
"Addressing Barriers to Healthcare Transitions for Survivors of Childhood and Adolescent Cancers (R01 Clinical Trial Optional)","12/16/2024","10/18/2025","R01","NIH","NCI","None","RFA-CA-25-019","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-019.html"
"Supporting Talented Early Career Researchers in Genomics (R01 Clinical Trial Optional)","12/16/2024","2/27/2027","R01","NIH","NHGRI","None","RFA-HG-25-009","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-25-009.html"
"NIDCD Research Grants for Translating Basic Research into Clinical Practice (R01 Clinical Trial Optional)","12/16/2024","10/13/2027","R01","NIH","NIDCD","None","RFA-DC-25-002","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-DC-25-002.html"
"Limited Competition: Small Grant Program for NHLBI K01/K08/K23/K25 Recipients (R03 Clinical Trial Optional)","12/16/2024","1/8/2026","R03","NIH","NHLBI","None","RFA-HL-25-011","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HL-25-011.html"
"Advanced Development and Validation of Emerging Molecular and Cellular Analysis Technologies for Basic and Clinical Cancer Research (R33 Clinical Trial Not Allowed)","12/16/2024","10/4/2025","R33","NIH","NCI","None","RFA-CA-25-002","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-002.html"
"Advanced Development and Validation of Emerging Biospecimen Science Technologies for Basic and Clinical Cancer Research (R33 Clinical Trial Not Allowed)","12/16/2024","10/4/2025","R33","NIH","NCI","None","RFA-CA-25-004","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-004.html"
"Innovative Biospecimen Science Technologies for Basic and Clinical Cancer Research (R61 Clinical Trial Not Allowed)","12/16/2024","10/4/2025","R61","NIH","NCI","None","RFA-CA-25-003","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-003.html"
"Innovative Molecular and Cellular Analysis Technologies for Basic and Clinical Cancer Research (R61 Clinical Trial Not Allowed)","12/16/2024","10/4/2025","R61","NIH","NCI","None","RFA-CA-25-001","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-001.html"
"D-START: Data Science Track Award for Research Transition (D/START) (R03-Clinical Trial Optional)","12/16/2024","9/8/2027","R03","NIH","NIDA","None","PAS-25-236","PAS","Optional","https://grants.nih.gov/grants/guide/pa-files/PAS-25-236.html"
"Leveraging Network Infrastructure to Conduct Innovative Research for Women, Children, Pregnant and Lactating Individuals, and Persons with Disabilities (UG3/UH3 - Clinical Trial Optional)","12/16/2024","11/16/2027","UG3/UH3","NIH","NICHD","ORWH","PAR-25-311","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-311.html"
"Risk and Protective Factors of Family Health and Family Level Interventions (R01 Clinical Trial Optional)","12/13/2024","5/8/2027","R01","NIH","NIMHD","NCI, NIAAA, NINR, ODP, ORWH, SGMRO, THRO","PAR-25-317","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-317.html"
"Integrating Biospecimen Science Approaches into Clinical Assay Development (U01 Clinical Trial Not Allowed)","12/13/2024","9/11/2027","U01","NIH","NCI","None","PAR-25-325","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-325.html"
"Clinical Coordinating Center for Multi-Site Investigator-Initiated Clinical Trials (Collaborative UG3/UH3 Clinical Trial Required)","12/11/2024","9/12/2025","UG3/UH3","NIH","NHLBI","None","PAR-25-029","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-029.html"
"Broad Spectrum Products Against Multiple Neurotoxin Botulinum Serotypes (R61/R33 Clinical Trial Not Allowed)","12/11/2024","5/3/2025","R61/R33","NIH","NIAID","None","RFA-AI-24-080","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-24-080.html"
